Match ID,Innings,Team ID,Team,Total,Wickets,Overs,RR,LB,NB,W,B,PEN
501207,1,474668,Kochi Tuskers Kerala,148,8,20.0,7.4,3.0,1.0,6.0,1.0,
501207,2,474666,Pune Warriors,151,6,18.5,8.01,1.0,,10.0,,
501206,1,335974,Chennai Super Kings,188,4,20.0,9.4,3.0,1.0,1.0,,
501206,2,335973,Kings XI Punjab,193,4,19.1,10.06,,,1.0,,
501205,1,335970,Royal Challengers Bangalore,140,4,20.0,7.0,7.0,,4.0,4.0,
501205,2,335978,Mumbai Indians,143,1,18.3,7.72,1.0,1.0,1.0,,
501204,1,335975,Delhi Daredevils,151,6,20.0,7.55,4.0,2.0,3.0,,
501204,2,335977,Rajasthan Royals,152,4,18.3,8.21,5.0,2.0,1.0,4.0,
501203,1,335971,Kolkata Knight Riders,163,4,20.0,8.15,2.0,,3.0,5.0,
501203,2,335980,Deccan Chargers,154,8,20.0,7.7,3.0,,4.0,2.0,
501202,1,335973,Kings XI Punjab,112,8,20.0,5.6,4.0,1.0,5.0,,
501202,2,474666,Pune Warriors,113,3,13.1,8.58,1.0,,3.0,,
501201,1,335975,Delhi Daredevils,95,10,17.4,5.37,,,4.0,,
501201,2,335978,Mumbai Indians,99,2,16.5,5.88,3.0,,7.0,1.0,
501200,1,474668,Kochi Tuskers Kerala,161,5,20.0,8.05,2.0,1.0,7.0,1.0,
501200,2,335970,Royal Challengers Bangalore,162,4,18.4,8.67,4.0,2.0,7.0,,
501199,1,335980,Deccan Chargers,137,8,20.0,6.85,,,4.0,,
501199,2,335977,Rajasthan Royals,141,2,18.5,7.48,2.0,2.0,1.0,,
501198,1,335974,Chennai Super Kings,153,4,20.0,7.65,,,2.0,1.0,
501198,2,335971,Kolkata Knight Riders,151,7,20.0,7.55,1.0,,7.0,,
419165,1,335974,Chennai Super Kings,168,5,20.0,8.4,3.0,,8.0,,
419165,2,335978,Mumbai Indians,146,9,20.0,7.3,6.0,,5.0,1.0,
419164,1,335980,Deccan Chargers,82,10,18.3,4.43,1.0,,3.0,,
419164,2,335970,Royal Challengers Bangalore,86,1,13.5,6.21,1.0,,1.0,1.0,
419163,1,335974,Chennai Super Kings,142,7,20.0,7.1,5.0,,3.0,8.0,
419163,2,335980,Deccan Chargers,104,10,19.2,5.37,2.0,,6.0,,
419162,1,335978,Mumbai Indians,184,5,20.0,9.2,2.0,2.0,9.0,,
419162,2,335970,Royal Challengers Bangalore,149,9,20.0,7.45,2.0,1.0,7.0,,
419161,1,335978,Mumbai Indians,133,8,20.0,6.65,2.0,,2.0,2.0,
419161,2,335971,Kolkata Knight Riders,135,1,17.3,7.71,2.0,5.0,9.0,,
419160,1,335980,Deccan Chargers,145,7,20.0,7.25,2.0,,1.0,,
419160,2,335975,Delhi Daredevils,134,7,20.0,6.7,2.0,1.0,2.0,,
419159,1,335973,Kings XI Punjab,192,3,20.0,9.6,2.0,,3.0,,
419159,2,335974,Chennai Super Kings,195,4,19.4,9.91,5.0,1.0,4.0,,
419158,1,335977,Rajasthan Royals,132,9,20.0,6.6,,,2.0,1.0,
419158,2,335971,Kolkata Knight Riders,133,2,16.1,8.22,,,7.0,,
419157,1,335978,Mumbai Indians,191,4,20.0,9.55,4.0,,11.0,,
419157,2,335970,Royal Challengers Bangalore,134,9,20.0,6.7,2.0,,2.0,1.0,
419156,1,335973,Kings XI Punjab,174,3,20.0,8.7,3.0,1.0,4.0,,
419156,2,335980,Deccan Chargers,178,5,19.1,9.28,6.0,,7.0,,
419155,1,335974,Chennai Super Kings,112,9,20.0,5.6,,2.0,6.0,,
419155,2,335975,Delhi Daredevils,113,4,18.4,6.05,,,9.0,4.0,
419154,1,335977,Rajasthan Royals,130,6,20.0,6.5,5.0,1.0,2.0,,
419154,2,335970,Royal Challengers Bangalore,132,5,15.4,8.42,1.0,,,,
419153,1,335971,Kolkata Knight Riders,139,8,20.0,6.95,5.0,,14.0,1.0,
419153,2,335974,Chennai Super Kings,143,1,13.3,10.59,2.0,,13.0,,
419152,1,335978,Mumbai Indians,183,4,20.0,9.15,5.0,2.0,3.0,,
419152,2,335975,Delhi Daredevils,144,7,20.0,7.2,6.0,1.0,1.0,,
419151,1,335980,Deccan Chargers,151,6,20.0,7.55,4.0,1.0,4.0,,
419151,2,335970,Royal Challengers Bangalore,138,10,19.4,7.01,4.0,,9.0,,
419150,1,335978,Mumbai Indians,174,5,20.0,8.7,4.0,,8.0,,
419150,2,335977,Rajasthan Royals,137,8,20.0,6.85,1.0,,7.0,,
419149,1,335975,Delhi Daredevils,111,10,19.4,5.64,2.0,,16.0,,
419149,2,335973,Kings XI Punjab,112,3,18.4,6.0,5.0,,1.0,,
419148,1,335971,Kolkata Knight Riders,160,9,20.0,8.0,1.0,,10.0,,
419148,2,335970,Royal Challengers Bangalore,162,3,17.1,9.43,3.0,,8.0,,
419147,1,335974,Chennai Super Kings,138,8,20.0,6.9,3.0,,3.0,2.0,
419147,2,335980,Deccan Chargers,139,4,19.1,7.25,2.0,,6.0,,
419146,1,335978,Mumbai Indians,154,9,20.0,7.7,3.0,,1.0,,
419146,2,335973,Kings XI Punjab,158,4,19.2,8.17,1.0,,3.0,,
419145,1,335970,Royal Challengers Bangalore,184,6,20.0,9.2,1.0,,14.0,,
419145,2,335980,Deccan Chargers,186,3,19.2,9.62,2.0,,6.0,,
419144,1,335971,Kolkata Knight Riders,181,3,20.0,9.05,1.0,,6.0,,
419144,2,335975,Delhi Daredevils,167,8,20.0,8.35,4.0,,4.0,1.0,
419143,1,335973,Kings XI Punjab,153,6,20.0,7.65,2.0,,7.0,,
419143,2,335977,Rajasthan Royals,157,1,15.0,10.46,2.0,3.0,4.0,,
419142,1,335974,Chennai Super Kings,165,4,20.0,8.25,1.0,1.0,15.0,1.0,
419142,2,335978,Mumbai Indians,141,9,20.0,7.05,5.0,2.0,7.0,,
419141,1,335977,Rajasthan Royals,159,10,19.5,8.01,4.0,,6.0,2.0,
419141,2,335980,Deccan Chargers,157,10,19.5,7.91,2.0,1.0,6.0,1.0,
419140,1,335975,Delhi Daredevils,184,5,20.0,9.2,4.0,1.0,2.0,1.0,
419140,2,335970,Royal Challengers Bangalore,147,9,20.0,7.35,1.0,1.0,,,
419139,1,335971,Kolkata Knight Riders,200,3,20.0,10.0,1.0,1.0,11.0,,
419139,2,335973,Kings XI Punjab,204,2,18.2,11.12,3.0,,2.0,,
419138,1,335978,Mumbai Indians,178,5,20.0,8.9,2.0,,5.0,,
419138,2,335980,Deccan Chargers,115,10,18.2,6.27,2.0,1.0,3.0,1.0,
419137,1,335974,Chennai Super Kings,246,5,20.0,12.3,,,2.0,4.0,
419137,2,335977,Rajasthan Royals,223,5,20.0,11.15,6.0,1.0,4.0,4.0,
419136,1,335973,Kings XI Punjab,181,5,20.0,9.05,1.0,1.0,7.0,2.0,
419136,2,335970,Royal Challengers Bangalore,184,4,19.1,9.6,3.0,1.0,6.0,,
